Date,Open,High,Low,Close,Volume,Adj Close
27-Jun-03,"9,079.74","9,135.91","8,938.26","8,989.05","1,267,800,000","8,989.05"
26-Jun-03,"9,011.06","9,118.82","8,953.83","9,079.04","1,387,400,000","9,079.04"
25-Jun-03,"9,109.57","9,195.20","8,984.29","9,011.53","1,459,200,000","9,011.53"
24-Jun-03,"9,071.48","9,179.25","9,020.08","9,109.85","1,388,300,000","9,109.85"
23-Jun-03,"9,199.49","9,215.32","9,003.83","9,072.95","1,398,100,000","9,072.95"
20-Jun-03,"9,180.93","9,306.36","9,149.21","9,200.75","1,698,000,000","9,200.75"
19-Jun-03,"9,293.80","9,346.34","9,134.50","9,179.53","1,530,100,000","9,179.53"
18-Jun-03,"9,322.67","9,363.15","9,185.17","9,293.80","1,488,900,000","9,293.80"
17-Jun-03,"9,319.66","9,406.50","9,234.78","9,323.02","1,479,700,000","9,323.02"
16-Jun-03,"9,117.56","9,335.49","9,117.56","9,318.96","1,345,900,000","9,318.96"
13-Jun-03,"9,197.88","9,234.23","9,042.63","9,117.12","1,271,600,000","9,117.12"
12-Jun-03,"9,184.29","9,270.64","9,089.38","9,196.55","1,553,100,000","9,196.55"
11-Jun-03,"9,048.85","9,202.08","9,010.13","9,183.22","1,520,000,000","9,183.22"
10-Jun-03,"8,980.79","9,111.11","8,946.06","9,054.89","1,275,400,000","9,054.89"
9-Jun-03,"9,061.18","9,109.43","8,909.78","8,980.00","1,307,000,000","8,980.00"
6-Jun-03,"9,045.57","9,248.71","9,008.87","9,062.79","1,837,200,000","9,062.79"
5-Jun-03,"9,036.67","9,106.70","8,905.37","9,041.30","1,693,100,000","9,041.30"
4-Jun-03,"8,919.94","9,076.94","8,882.75","9,038.98","1,618,700,000","9,038.98"
3-Jun-03,"8,898.23","8,973.02","8,823.51","8,922.95","1,450,200,000","8,922.95"
2-Jun-03,"8,851.45","9,040.46","8,833.66","8,897.81","1,662,500,000","8,897.81"
30-May-03,"8,711.46","8,897.04","8,711.46","8,850.26","1,688,800,000","8,850.26"
29-May-03,"8,787.23","8,895.99","8,657.96","8,711.18","1,685,800,000","8,711.18"
28-May-03,"8,781.84","8,885.34","8,721.90","8,793.12","1,559,000,000","8,793.12"
27-May-03,"8,600.54","8,812.30","8,523.64","8,781.35","1,532,000,000","8,781.35"
23-May-03,"8,594.02","8,668.47","8,513.98","8,601.38","1,201,000,000","8,601.38"
22-May-03,"8,516.99","8,650.33","8,495.35","8,594.02","1,448,500,000","8,594.02"
21-May-03,"8,485.62","8,577.64","8,389.68","8,516.43","1,457,800,000","8,516.43"
20-May-03,"8,494.09","8,593.61","8,394.51","8,491.36","1,505,300,000","8,491.36"
19-May-03,"8,676.52","8,676.52","8,455.72","8,493.39","1,375,700,000","8,493.39"
16-May-03,"8,710.36","8,766.36","8,614.33","8,678.97","1,505,500,000","8,678.97"
15-May-03,"8,649.22","8,766.58","8,613.84","8,713.14","1,508,700,000","8,713.14"
14-May-03,"8,673.29","8,744.94","8,575.96","8,647.82","1,401,800,000","8,647.82"
13-May-03,"8,722.88","8,757.40","8,611.18","8,679.25","1,418,100,000","8,679.25"
12-May-03,"8,603.90","8,764.12","8,544.24","8,726.73","1,378,800,000","8,726.73"
9-May-03,"8,492.69","8,637.58","8,482.89","8,604.60","1,326,100,000","8,604.60"
8-May-03,"8,558.67","8,591.01","8,435.61","8,491.22","1,379,600,000","8,491.22"
7-May-03,"8,585.42","8,650.82","8,494.87","8,560.63","1,531,900,000","8,560.63"
6-May-03,"8,531.28","8,658.18","8,486.88","8,588.36","1,649,600,000","8,588.36"
5-May-03,"8,583.17","8,643.11","8,472.67","8,531.57","1,446,300,000","8,531.57"
2-May-03,"8,453.48","8,612.86","8,389.40","8,582.68","1,554,300,000","8,582.68"
1-May-03,"8,478.48","8,519.09","8,328.55","8,454.25","1,397,500,000","8,454.25"
30-Apr-03,"8,501.38","8,557.62","8,402.36","8,480.09","1,788,510,000","8,480.09"
29-Apr-03,"8,472.88","8,578.55","8,414.61","8,502.99","1,525,600,000","8,502.99"
28-Apr-03,"8,306.84","8,515.80","8,290.46","8,471.61","1,273,000,000","8,471.61"
25-Apr-03,"8,438.98","8,453.06","8,258.80","8,306.35","1,335,800,000","8,306.35"
24-Apr-03,"8,512.44","8,527.99","8,363.28","8,440.04","1,648,100,000","8,440.04"
23-Apr-03,"8,484.92","8,587.72","8,398.65","8,515.66","1,667,200,000","8,515.66"
22-Apr-03,"8,326.38","8,509.43","8,238.14","8,484.99","1,631,200,000","8,484.99"
21-Apr-03,"8,336.67","8,423.09","8,270.56","8,328.90","1,118,700,000","8,328.90"
17-Apr-03,"8,255.79","8,388.28","8,172.52","8,337.65","1,430,600,000","8,337.65"
16-Apr-03,"8,405.72","8,459.15","8,217.27","8,257.61","1,587,600,000","8,257.61"
15-Apr-03,"8,347.66","8,443.11","8,251.38","8,402.36","1,460,200,000","8,402.36"
14-Apr-03,"8,203.97","8,375.19","8,175.60","8,351.10","1,131,000,000","8,351.10"
11-Apr-03,"8,223.22","8,360.76","8,156.77","8,203.41","1,141,600,000","8,203.41"
10-Apr-03,"8,198.99","8,274.56","8,109.85","8,221.33","1,275,300,000","8,221.33"
9-Apr-03,"8,299.28","8,404.25","8,174.90","8,197.94","1,293,700,000","8,197.94"
8-Apr-03,"8,299.12","8,382.43","8,222.24","8,298.92","1,235,400,000","8,298.92"
7-Apr-03,"8,284.15","8,550.40","8,272.24","8,300.41","1,494,000,000","8,300.41"
4-Apr-03,"8,240.59","8,348.29","8,176.66","8,277.15","1,241,200,000","8,277.15"
3-Apr-03,"8,285.76","8,378.76","8,199.49","8,240.38","1,351,500,000","8,240.38"
2-Apr-03,"8,070.98","8,342.27","8,070.98","8,285.06","1,589,800,000","8,285.06"
1-Apr-03,"7,992.83","8,133.03","7,947.38","8,069.86","1,461,600,000","8,069.86"
31-Mar-03,"8,142.83","8,142.83","7,903.97","7,992.13","1,495,500,000","7,992.13"
28-Mar-03,"8,198.85","8,224.83","8,070.77","8,145.77","1,227,000,000","8,145.77"
27-Mar-03,"8,226.39","8,272.03","8,085.40","8,201.45","1,232,900,000","8,201.45"
26-Mar-03,"8,279.88","8,323.01","8,165.52","8,229.88","1,319,700,000","8,229.88"
25-Mar-03,"8,216.85","8,355.93","8,155.65","8,280.23","1,333,400,000","8,280.23"
24-Mar-03,"8,514.82","8,514.82","8,166.78","8,214.68","1,293,000,000","8,214.68"
21-Mar-03,"8,290.38","8,552.08","8,290.38","8,521.97","1,883,710,000","8,521.97"
20-Mar-03,"8,264.68","8,335.20","8,122.59","8,286.60","1,439,100,000","8,286.60"
19-Mar-03,"8,193.04","8,304.04","8,116.01","8,265.45","1,473,400,000","8,265.45"
18-Mar-03,"8,142.69","8,253.48","8,057.54","8,194.23","1,555,100,000","8,194.23"
17-Mar-03,"7,857.96","8,163.56","7,763.56","8,141.92","1,700,420,000","8,141.92"
14-Mar-03,"7,822.17","7,961.60","7,761.25","7,859.71","1,541,900,000","7,859.71"
13-Mar-03,"7,555.29","7,847.03","7,555.29","7,821.75","1,816,300,000","7,821.75"
12-Mar-03,"7,517.76","7,582.96","7,397.31","7,552.07","1,620,000,000","7,552.07"
11-Mar-03,"7,568.53","7,673.98","7,488.00","7,524.06","1,427,700,000","7,524.06"
10-Mar-03,"7,739.40","7,739.40","7,545.77","7,568.18","1,255,000,000","7,568.18"
7-Mar-03,"7,671.75","7,780.57","7,536.18","7,740.03","1,368,500,000","7,740.03"
6-Mar-03,"7,774.76","7,795.07","7,624.97","7,673.99","1,299,200,000","7,673.99"
5-Mar-03,"7,702.35","7,801.79","7,639.82","7,775.60","1,332,700,000","7,775.60"
4-Mar-03,"7,838.14","7,859.08","7,688.98","7,704.87","1,256,600,000","7,704.87"
3-Mar-03,"7,890.24","7,997.66","7,809.05","7,837.86","1,208,900,000","7,837.86"
28-Feb-03,"7,886.11","7,987.80","7,826.72","7,891.08","1,373,300,000","7,891.08"
27-Feb-03,"7,807.96","7,950.46","7,774.34","7,884.99","1,287,800,000","7,884.99"
26-Feb-03,"7,907.39","7,944.93","7,767.62","7,806.98","1,374,400,000","7,806.98"
25-Feb-03,"7,856.42","7,931.14","7,700.53","7,909.50","1,483,700,000","7,909.50"
24-Feb-03,"8,017.34","8,017.34","7,828.06","7,858.24","1,229,200,000","7,858.24"
21-Feb-03,"7,915.52","8,055.79","7,843.81","8,018.11","1,398,200,000","8,018.11"
20-Feb-03,"8,002.70","8,051.37","7,858.24","7,914.96","1,194,100,000","7,914.96"
19-Feb-03,"8,033.80","8,079.11","7,913.70","8,000.60","1,075,600,000","8,000.60"
18-Feb-03,"7,909.30","8,114.82","7,909.30","8,041.15","1,250,800,000","8,041.15"
14-Feb-03,"7,750.90","7,936.56","7,704.96","7,908.80","1,404,600,000","7,908.80"
13-Feb-03,"7,756.55","7,817.88","7,602.81","7,749.87","1,489,300,000","7,749.87"
12-Feb-03,"7,836.36","7,892.96","7,720.39","7,758.17","1,260,500,000","7,758.17"
11-Feb-03,"7,920.93","8,010.89","7,798.69","7,843.11","1,307,000,000","7,843.11"
10-Feb-03,"7,865.74","7,963.03","7,777.98","7,920.11","1,238,200,000","7,920.11"
7-Feb-03,"7,932.45","8,019.46","7,811.10","7,864.23","1,276,800,000","7,864.23"
6-Feb-03,"7,981.95","8,031.66","7,855.87","7,929.30","1,430,900,000","7,929.30"
5-Feb-03,"8,014.45","8,162.96","7,950.42","7,985.18","1,450,800,000","7,985.18"
4-Feb-03,"8,104.61","8,104.61","7,915.93","8,013.29","1,451,600,000","8,013.29"
3-Feb-03,"8,053.74","8,189.35","8,032.90","8,109.82","1,258,500,000","8,109.82"
31-Jan-03,"7,939.72","8,121.37","7,884.66","8,053.81","1,578,530,000","8,053.81"
30-Jan-03,"8,109.14","8,169.81","7,918.19","7,945.13","1,510,300,000","7,945.13"
