Date,Open,High,Low,Close,Volume,Adj Close,,,,,,,,,
3-May-12,"13,267.59","13,284.09","13,175.64","13,206.59","1,020,900","13,206.59",,,,,,,,,
2-May-12,"13,278.11","13,278.11","13,192.21","13,268.57","1,007,700","13,268.57",,,,,,,,,
1-May-12,"13,214.16","13,338.66","13,174.65","13,279.32","1,234,000","13,279.32",,,,,,,,,
30-Apr-12,"13,228.31","13,228.76","13,176.01","13,213.63","1,278,700","13,213.63",,,,,,,,,
27-Apr-12,"13,204.70","13,266.68","13,192.21","13,228.31","1,108,500","13,228.31",,,,,,,,,
26-Apr-12,"13,090.11","13,227.82","13,075.96","13,204.62","1,075,700","13,204.62",,,,,,,,,
25-Apr-12,"12,997.69","13,105.70","12,993.60","13,090.72","1,352,600","13,090.72",,,,,,,,,
24-Apr-12,"12,927.77","13,050.30","12,926.49","13,001.56","1,341,100","13,001.56",,,,,,,,,
23-Apr-12,"13,028.20","13,028.20","12,845.58","12,927.17","1,393,700","12,927.17",,,,,,,,,
20-Apr-12,"12,964.48","13,082.54","12,964.25","13,029.26","2,120,800","13,029.26",,,,,,,,,
19-Apr-12,"13,028.73","13,080.20","12,896.82","12,964.10","1,398,100","12,964.10",,,,,,,,,
18-Apr-12,"13,114.56","13,114.56","13,027.49","13,032.75","1,135,200","13,032.75",,,,,,,,,
17-Apr-12,"12,921.79","13,131.36","12,921.79","13,115.54","1,153,200","13,115.54",,,,,,,,,
16-Apr-12,"12,850.88","12,986.77","12,850.80","12,921.41","1,209,900","12,921.41",,,,,,,,,
13-Apr-12,"12,986.20","12,986.35","12,845.28","12,849.59","1,409,900","12,849.59",,,,,,,,,
12-Apr-12,"12,806.45","12,986.96","12,806.30","12,986.58","1,197,800","12,986.58",,,,,,,,,
11-Apr-12,"12,716.92","12,844.82","12,716.92","12,805.39","1,252,100","12,805.39",,,,,,,,,
10-Apr-12,"12,929.44","12,929.59","12,710.56","12,715.93","1,592,900","12,715.93",,,,,,,,,
9-Apr-12,"13,057.57","13,057.72","12,903.78","12,929.59","1,055,800","12,929.59",,,,,,,,,
5-Apr-12,"13,067.18","13,088.11","13,012.46","13,060.14","1,095,300","13,060.14",,,,,,,,,
4-Apr-12,"13,198.19","13,198.19","13,020.86","13,074.75","1,250,000","13,074.75",,,,,,,,,
3-Apr-12,"13,258.96","13,265.36","13,131.21","13,199.55","1,239,800","13,199.55",,,,,,,,,
2-Apr-12,"13,211.36","13,297.11","13,153.69","13,264.49","1,087,900","13,264.49",,,,,,,,,
30-Mar-12,"13,147.94","13,224.49","13,147.78","13,212.04","1,711,900","13,212.04",,,,,,,,,
29-Mar-12,"13,125.99","13,151.57","13,032.67","13,145.82","1,362,500","13,145.82",,,,,,,,,
